image_path,radial_bin_00,radial_bin_01,radial_bin_02,radial_bin_03,radial_bin_04,radial_bin_05,radial_bin_06,radial_bin_07,radial_bin_08,radial_bin_09,radial_bin_10,radial_bin_11,radial_bin_12,radial_bin_13,radial_bin_14,radial_bin_15,radial_bin_16,radial_bin_17,radial_bin_18,radial_bin_19,radial_bin_20,radial_bin_21,radial_bin_22,radial_bin_23,radial_bin_24,radial_bin_25,radial_bin_26,radial_bin_27,radial_bin_28,radial_bin_29,radial_bin_30,radial_bin_31,radial_bin_32,radial_bin_33,radial_bin_34,radial_bin_35,radial_bin_36,radial_bin_37,radial_bin_38,radial_bin_39,radial_bin_40,radial_bin_41,radial_bin_42,radial_bin_43,radial_bin_44,radial_bin_45,radial_bin_46,radial_bin_47,radial_bin_48,radial_bin_49,radial_bin_50,radial_bin_51,radial_bin_52,radial_bin_53,radial_bin_54,radial_bin_55,radial_bin_56,radial_bin_57,radial_bin_58,radial_bin_59,radial_bin_60,radial_bin_61,radial_bin_62,radial_bin_63,low_energy_ratio,mid_energy_ratio,high_energy_ratio,spectral_centroid,anisotropy,cluster,pca_x,pca_y
data/images/image_0001.tiff,0.971206545829773,0.016542986035346985,0.005082413554191589,0.0020789215341210365,0.0012562298215925694,0.0006731324829161167,0.0007564256666228175,0.0005574344540946186,0.00027465043240226805,0.00020985963055863976,0.00023099948884919286,0.0001627448946237564,0.00013042274804320186,0.00011718222958734259,7.818212179699913e-05,7.04930498613976e-05,7.529916183557361e-05,5.2715171477757394e-05,5.1851937314495444e-05,4.0055416320683435e-05,2.9256372727104463e-05,2.7580123060033657e-05,2.4171122277039103e-05,1.9895176592399366e-05,2.4612603738205507e-05,1.910473292809911e-05,1.7835674952948466e-05,1.5397981769638136e-05,1.5455345419468358e-05,1.3353449503483716e-05,1.1813499440904707e-05,1.2804138350475114e-05,1.042800704453839e-05,9.009975656226743e-06,7.541602371929912e-06,8.63801051309565e-06,7.53530684960424e-06,6.918514827702893e-06,7.013877166173188e-06,5.676944965671282e-06,5.223211701377295e-06,5.6363901421718765e-06,5.633971795759862e-06,5.367094672692474e-06,4.9250738811679184e-06,3.2537268452870194e-06,2.616380015751929e-06,2.1367084173107287e-06,2.0760871848324314e-06,1.8526175153965596e-06,1.8817542013493949e-06,1.7494032817921834e-06,1.5046978205646155e-06,1.4338704659166979e-06,1.5728692233096808e-06,1.347019974673458e-06,1.3027561180933844e-06,1.411882749380311e-06,1.2122943644499173e-06,9.82042934083438e-07,9.286350177717395e-07,1.0822490139617003e-06,1.4540974007104523e-06,8.438371423835633e-07,0.9644740223884583,0.031246408820152283,0.004279581364244223,4.340329170227051,1.5928442478179932,3,9.113076,4.19291
data/images/image_0002.jpg,0.9788876175880432,0.012176413089036942,0.0036274632439017296,0.001638474757783115,0.0008600004366599023,0.00045133239473216236,0.0004889264819212258,0.00038688883068971336,0.00023349985713139176,0.00017830109572969377,0.00016007224621716887,0.00011352464207448065,0.0001009455809253268,7.150946476031095e-05,5.883116682525724e-05,5.594436515821144e-05,6.139755714684725e-05,4.140539022046141e-05,3.071999526582658e-05,3.069338345085271e-05,3.1271953048417345e-05,2.8219476007507183e-05,2.6708987206802703e-05,1.9074283045483753e-05,1.6893838619580492e-05,1.3942181794845965e-05,1.505495765741216e-05,1.556205279484857e-05,1.6563873941777274e-05,1.538701690151356e-05,1.4926788026059512e-05,1.3228890566097107e-05,9.868975212157238e-06,7.965488293848466e-06,7.189324605860747e-06,8.246139259426855e-06,7.628930688952096e-06,6.068173206585925e-06,6.262343049456831e-06,6.898743322381051e-06,5.947229510638863e-06,5.787860118289245e-06,5.558581051445799e-06,4.875405920756748e-06,4.722277935798047e-06,3.4372310437902343e-06,2.636886165419128e-06,2.6432444428792223e-06,2.458998778820387e-06,2.230144673376344e-06,1.9973115286120446e-06,2.184130380555871e-06,2.0558086362143513e-06,1.565871912134753e-06,1.1950115776926395e-06,1.1909763770745485e-06,1.035943569149822e-06,1.1383046967239352e-06,1.2755035641021095e-06,1.1768753438445856e-06,1.3216783827374456e-06,7.412930926875561e-07,8.078843620751286e-07,1.1132916597489384e-06,0.9677945971488953,0.027606043964624405,0.004599385429173708,3.9856083393096924,1.848822832107544,3,7.3886795,1.8977517
data/images/image_0003.jpg,0.9829980731010437,0.013351515866816044,0.0018076812848448753,0.0007324264151975513,0.00042893621139228344,0.00015053030801936984,0.00011971097410423681,8.131137292366475e-05,6.412856600945815e-05,4.0015100239543244e-05,3.1583364034304395e-05,2.5249890313716605e-05,2.1707401174353436e-05,1.8866272512241267e-05,1.4307830497273244e-05,1.1328219443385024e-05,9.788305760594085e-06,7.802486834407318e-06,8.03915554570267e-06,6.837150067440234e-06,5.866505944140954e-06,5.5828068070695736e-06,4.709709628514247e-06,3.6808846743952017e-06,4.119062396057416e-06,3.596426722651813e-06,3.2697998904041015e-06,3.1229903925122926e-06,2.840876732079778e-06,2.1244043182377936e-06,2.1623020529659698e-06,2.091034957629745e-06,2.05504875339102e-06,1.9437097762420308e-06,1.5582427295157686e-06,1.668018740019761e-06,1.7912078646986629e-06,1.5748422583783395e-06,1.3691094409296056e-06,1.4131549050944159e-06,1.0831964800672722e-06,1.29878196730715e-06,1.1651479780994123e-06,1.1220239457543357e-06,1.1695791499732877e-06,7.579628800158389e-07,5.671448661814793e-07,5.073420652479399e-07,4.5381125346466433e-07,4.9218903086512e-07,4.500506918247993e-07,4.0235914866570965e-07,3.8036111504879955e-07,3.7356576854108425e-07,3.3984179026447237e-07,3.414555749259307e-07,3.4040638752230734e-07,2.955272577764845e-07,3.923520637272304e-07,3.683124134568061e-07,4.016877994672541e-07,3.581079113246233e-07,2.3576541252623429e-07,3.0360271807694517e-07,0.9928641319274902,0.006070553325116634,0.0010653074132278562,1.270900845527649,2.275153875350952,4,-2.7701998,-0.26156327
data/images/image_0004.jpg,0.9687856435775757,0.018281877040863037,0.006770721171051264,0.0023126089945435524,0.001039464375935495,0.0004998205113224685,0.00097855634521693,0.0004981809761375189,0.0003183912776876241,0.00014800338249187917,7.357184949796647e-05,3.665557233034633e-05,3.3255229936912656e-05,3.482670581433922e-05,2.8639335141633637e-05,2.2547428670804948e-05,2.033079363172874e-05,1.6938993212534115e-05,1.4485749488812871e-05,1.2525730198831297e-05,1.1545569577720016e-05,7.960861694300547e-06,5.466818947752472e-06,3.6102078411204275e-06,4.430819444678491e-06,4.051256837556139e-06,4.155759597779252e-06,4.285256636649137e-06,3.2694454148440855e-06,2.0582510842359625e-06,2.1459165964188287e-06,1.9075819182035048e-06,1.847152020673093e-06,1.698326400401129e-06,1.2442792467481922e-06,1.5546513623121427e-06,1.3766507436230313e-06,1.265618948309566e-06,1.234869841937325e-06,1.155732888946659e-06,9.168984433927108e-07,1.1533120414242148e-06,1.012745428852213e-06,9.556009672451182e-07,9.096827966459387e-07,2.786782431485335e-07,1.528474058432039e-07,1.3152640576663543e-07,1.3933451725733903e-07,1.7900401871884242e-07,1.3373768581459444e-07,1.0432007968574908e-07,7.829598303032981e-08,6.115667616768405e-08,5.661241786469873e-08,4.6865512359772765e-08,4.0796781064500465e-08,3.656292335563194e-08,3.5757938832148284e-08,4.999058944576973e-08,5.158670646210339e-08,5.296636018670142e-08,5.5674327370525134e-08,3.6871668385174416e-08,0.9909079074859619,0.008423930034041405,0.0006681490340270102,2.5518581867218018,2.4308996200561523,4,-0.7196507,4.416433
data/images/image_0005.jpg,0.9714627265930176,0.017743023112416267,0.0060048094019293785,0.0018421963322907686,0.0008593552047386765,0.0004355408891569823,0.0003642526571638882,0.0002700255427043885,0.00017696947907097638,0.00017867998394649476,0.00011050918692490086,7.418895984301344e-05,8.091426570899785e-05,5.897491064388305e-05,4.6577224566135556e-05,4.3787676986539736e-05,3.687046773848124e-05,2.197060348407831e-05,2.2599695512326434e-05,2.0480405510170385e-05,1.5789633835083805e-05,1.2776643416145816e-05,1.320729552389821e-05,8.25276947580278e-06,8.305734809255227e-06,7.226947218441637e-06,6.844325525889872e-06,6.6522507040645e-06,7.79251513449708e-06,4.334855930210324e-06,4.655775683204411e-06,3.6582596294465475e-06,4.8819201765581965e-06,4.2106412365683354e-06,2.9509312753361883e-06,3.7036643334431574e-06,3.051505927942344e-06,3.0826522561255842e-06,2.642971367095015e-06,3.457337470536004e-06,2.3906927708594594e-06,2.6198335945082363e-06,2.302016582689248e-06,2.2160022581374506e-06,2.543824166423292e-06,1.2339716022324865e-06,4.11328699101432e-07,3.6491323385234864e-07,3.3325028425679193e-07,2.911294245677709e-07,2.941856394045317e-07,2.600319248813321e-07,2.8546202202051063e-07,2.5766541966731893e-07,2.4095317030514707e-07,2.619996166686178e-07,2.4315860969181813e-07,2.5136682779702824e-07,2.3894091327747446e-07,2.479515046616143e-07,2.6010198439507803e-07,2.409039154827042e-07,1.6943282332704257e-07,1.3922017672030051e-07,0.9830687046051025,0.015190738253295422,0.0017405857797712088,2.5511155128479004,1.3722221851348877,0,1.2350726,3.401554
data/images/image_0006.jpg,0.9602970480918884,0.027874240651726723,0.005431412253528833,0.0027040354907512665,0.0013511697761714458,0.0006378447869792581,0.0004403573402669281,0.0003145158407278359,0.00021061829465907067,0.0001547942665638402,0.00010537478374317288,8.324271038873121e-05,5.6181317631853744e-05,4.485478712012991e-05,3.5687746276380494e-05,2.622394822537899e-05,2.809918441926129e-05,2.8073465728084557e-05,3.36258381139487e-05,2.6010146029875614e-05,1.6263908037217334e-05,8.545336640963797e-06,6.751007276761811e-06,5.543307906918926e-06,5.749835509050172e-06,5.808108198834816e-06,5.712352958653355e-06,6.028846200933913e-06,5.510124992724741e-06,5.182773293199716e-06,4.0807685763866175e-06,4.251546670275275e-06,3.5739803934120573e-06,2.9296083994267974e-06,2.616315441628103e-06,2.717158395171282e-06,2.2109563815320143e-06,2.1141161141713383e-06,1.783200673344254e-06,1.418794226992759e-06,1.513068241365545e-06,1.5379414435301442e-06,1.4341653695737477e-06,1.4737462379343924e-06,1.3813877330903779e-06,1.3617897138828994e-06,1.2100242656742921e-06,1.0263723879688769e-06,8.627014835838054e-07,4.704179730197211e-07,4.677853837620205e-07,4.3589261622400954e-07,3.977378923991637e-07,4.3071045752185455e-07,5.13838131155353e-07,5.827479867548391e-07,5.074978730590374e-07,5.076385605207179e-07,3.7491199122996477e-07,2.2432040225339733e-07,2.8057255008206994e-07,3.746891650280304e-07,3.484138346721011e-07,1.0174487385938846e-07,0.9859433770179749,0.012788007967174053,0.001268603140488267,2.794846773147583,1.6879583597183228,0,1.0116465,4.3839703
data/images/image_0007.jpg,0.993429958820343,0.004593695513904095,0.0009025870240293443,0.00039451359771192074,0.00024667891557328403,0.0001086139163817279,8.101520506897941e-05,5.4699499742127955e-05,2.8072545319446363e-05,2.5882376576191746e-05,1.5609621186740696e-05,1.195320874103345e-05,1.0915242455666885e-05,9.690397746453527e-06,7.156720585044241e-06,7.814332093403209e-06,6.907636816322338e-06,5.541392511076992e-06,5.308750587573741e-06,4.838299901166465e-06,4.390432877698913e-06,4.476047706702957e-06,3.341383944643894e-06,2.832576683431398e-06,2.637905026858789e-06,2.4353521439479664e-06,1.92408242583042e-06,1.9103231352346484e-06,1.7652574797466514e-06,1.5957567711666343e-06,1.4063411981624085e-06,1.584163783263648e-06,1.218403099301213e-06,1.2591458471433725e-06,1.0027324606198817e-06,1.1292081580904778e-06,8.683265946274332e-07,8.321492259710794e-07,8.392565291615028e-07,7.097837624314707e-07,7.140032494135085e-07,6.841627282483387e-07,6.743558742527966e-07,6.820538942520216e-07,6.422931733141013e-07,5.840170729243255e-07,4.783250915352255e-07,4.1915367887668253e-07,3.9212449109982117e-07,3.8786487266406766e-07,3.5823669009005243e-07,3.242311095164041e-07,3.375901655999769e-07,3.0046362553548533e-07,3.0903603942533664e-07,3.297866442153463e-07,3.147141853787616e-07,3.128644721073215e-07,3.2060947319223487e-07,4.455041846540553e-07,3.7012301845607e-07,3.692138648148102e-07,4.602698595590482e-07,1.6842096783875604e-07,0.9951984286308289,0.0040892548859119415,0.0007123372633941472,0.8515517115592957,1.1949176788330078,2,-3.880465,-1.3871859
data/images/image_0008.jpg,0.9899740815162659,0.0029980323743075132,0.0024188554380089045,0.0017793216975405812,0.0009218602208420634,0.0005553157534450293,0.00026670360239222646,0.0002670753456186503,0.0001550653832964599,0.0001141945322160609,8.190525113604963e-05,5.922343916608952e-05,5.700331530533731e-05,4.573332262225449e-05,3.486796049401164e-05,2.422783654765226e-05,2.734311783569865e-05,2.159532959922217e-05,1.9884249923052266e-05,1.6229047105298378e-05,1.3904555089538917e-05,1.1487984011182562e-05,1.0966101399390027e-05,1.0487612598808482e-05,9.025997314893175e-06,7.86541659181239e-06,7.245188498927746e-06,6.132526777946623e-06,5.6210897128039505e-06,5.492416676133871e-06,5.039103143644752e-06,4.781072220794158e-06,4.3582049329415895e-06,3.961260972573655e-06,3.325666739328881e-06,3.2702560019970406e-06,3.2943419228104176e-06,3.097377430094639e-06,2.7848348054249072e-06,2.9554112188634463e-06,2.6651978259906173e-06,2.364914280406083e-06,2.4167409264919115e-06,2.2317058210319374e-06,2.2707515654474264e-06,1.9009123661817284e-06,1.990666532947216e-06,1.533872023173899e-06,1.5547143448202405e-06,1.6445496839878615e-06,1.311294340666791e-06,1.24647237953468e-06,1.296057575927989e-06,1.2400178093230352e-06,1.2992925348953577e-06,1.4089696378505323e-06,1.4305561535365996e-06,1.1019901648978703e-06,1.0493640729691833e-06,9.328533110419812e-07,7.409585691675602e-07,9.397368785357685e-07,9.170100838673534e-07,9.165805181510223e-07,0.9835095405578613,0.01401287131011486,0.002477558795362711,2.129951238632202,1.9273401498794556,0,1.3326321,0.3931316
data/images/image_0009.jpg,0.9901341795921326,0.007103702984750271,0.0014362504007294774,0.0004706986073870212,0.0002189412189181894,0.00012875876564066857,8.004387927940115e-05,5.546814281842671e-05,3.709222801262513e-05,2.8427095458027907e-05,2.198041693191044e-05,1.7917425793712027e-05,1.6656058505759574e-05,1.276286639040336e-05,1.4846064004814252e-05,1.3794014193990733e-05,1.2646511095226742e-05,1.0026805284724105e-05,9.916172530211043e-06,1.0087290320370812e-05,1.0190288776357193e-05,9.737357686390169e-06,9.744477210915647e-06,9.790139301912859e-06,8.916879778553266e-06,7.845452273613773e-06,7.69050166127272e-06,6.324433343252167e-06,6.5957319748122245e-06,5.243346549832495e-06,4.294843165553175e-06,4.44176112068817e-06,4.070768227393273e-06,3.4331071674387204e-06,3.75795025320258e-06,3.0335397696035216e-06,2.8177023523312528e-06,2.787195398923359e-06,2.813169658111292e-06,2.312651986358105e-06,2.2793471998738823e-06,2.3251916445587995e-06,2.104109171341406e-06,1.9503127077769022e-06,2.0369445792312035e-06,2.0189679617033107e-06,1.8600654811962158e-06,1.6588106745984987e-06,1.7267246903429623e-06,1.7499303339718608e-06,1.8899146425610525e-06,1.7335302118226537e-06,2.1404439394245856e-06,2.0757800029969076e-06,1.8576312186269206e-06,1.6992081555144978e-06,1.5979373984009726e-06,1.779711055860389e-06,1.6783953924459638e-06,1.940511310749571e-06,2.3844629595259903e-06,4.315125352150062e-06,3.0292733299575048e-06,2.1085359094286105e-06,0.9873262643814087,0.010038379579782486,0.002635346492752433,1.5521994829177856,1.349538803100586,0,0.19281606,-2.981942
data/images/image_0010.jpg,0.969469428062439,0.01902112551033497,0.004939289763569832,0.002524210838600993,0.0011042837286368012,0.000741988536901772,0.00043740682303905487,0.00027073631645180285,0.0002927513560280204,0.00018661533249542117,0.00013035687152296305,0.00010057698818854988,0.00010277559340465814,8.866596908774227e-05,6.63943137624301e-05,5.509511902346276e-05,4.873274519923143e-05,3.983522765338421e-05,3.843818558380008e-05,3.580815246095881e-05,3.0154826163197868e-05,2.420199234620668e-05,2.1846617528353818e-05,1.8279522919328883e-05,2.1483125237864442e-05,1.5706051271990873e-05,1.3661308912560344e-05,1.292980869038729e-05,1.0378716069681104e-05,1.0116788871528115e-05,9.742803740664385e-06,9.594319635652937e-06,8.338221050507855e-06,9.087986654776614e-06,7.502479547838448e-06,7.836913937353529e-06,6.301116172835464e-06,5.4254501264949795e-06,6.217908776307013e-06,5.90014587942278e-06,4.545047886495013e-06,5.231918294157367e-06,4.939018708682852e-06,5.4553697736992035e-06,4.793598691321677e-06,3.0704861728736432e-06,2.080835201923037e-06,2.0336681245680666e-06,1.8728005670709535e-06,1.5962639281497104e-06,1.3886101442039944e-06,1.290055593017314e-06,1.2295482747504138e-06,1.2472156640797039e-06,1.2334181747064576e-06,1.1149954843858723e-06,9.796983704291051e-07,9.815731800699723e-07,1.1499921583890682e-06,1.0667467904568184e-06,1.1341766139594256e-06,8.805594688965357e-07,7.841920250939438e-07,6.666001013400091e-07,0.9703617095947266,0.02565631829202175,0.003981994464993477,3.6905839443206787,1.0226995944976807,3,6.6224413,3.4166732
